url,born,height,weight,games,debut,last
https://afltables.com/afl/stats/players/M/Michael_Aitken.html,1960-01-12,187,83,1,1985-06-15,1985-06-15
https://afltables.com/afl/stats/players/P/Peter_Aitken.html,1934-11-11,175,63,11,1955-04-16,1955-08-13
https://afltables.com/afl/stats/players/F/Frank_Aked0.html,1902-11-25,183,86,116,1925-07-11,1933-06-24
https://afltables.com/afl/stats/players/F/Frank_Aked1.html,1932-02-05,180,82,4,1951-08-04,1952-07-05
https://afltables.com/afl/stats/players/J/Jason_Akermanis.html,1977-02-24,177,85,325,1995-04-23,2010-05-28
https://afltables.com/afl/stats/players/A/Alec_Albiston.html,1917-11-16,175,73,177,1936-07-18,1950-08-12
https://afltables.com/afl/stats/players/D/David_Albiston.html,1944-12-22,174,73,61,1962-07-21,1966-07-09
https://afltables.com/afl/stats/players/H/Harold_Albiston.html,1916-04-13,173,72,63,1935-06-22,1940-06-01
https://afltables.com/afl/stats/players/K/Ken_Albiston.html,1926-11-11,171,68,103,1946-07-20,1954-09-25
https://afltables.com/afl/stats/players/B/Bill_Albress.html,1897-10-13,180,83,8,1917-07-21,1918-06-08
https://afltables.com/afl/stats/players/T/Ted_Alcorn.html,1884-06-14,NA,NA,2,1909-07-03,1909-07-10
https://afltables.com/afl/stats/players/B/Bill_Aldag.html,1905-11-30,183,85,11,1928-07-07,1931-07-11
https://afltables.com/afl/stats/players/F/Fred_Alder.html,1889-06-21,NA,NA,1,1909-08-21,1909-08-21
https://afltables.com/afl/stats/players/H/Henry_Alder.html,1874-04-06,NA,NA,1,1902-05-10,1902-05-10
https://afltables.com/afl/stats/players/C/Craig_Alderdice.html,1961-08-02,196,86,25,1985-05-04,1988-08-27
https://afltables.com/afl/stats/players/I/Ivor_Aldridge.html,1899-11-13,178,72,8,1920-05-15,1921-06-18
https://afltables.com/afl/stats/players/H/Harry_Alessio.html,1895-12-22,175,71,38,1915-07-31,1919-07-19
https://afltables.com/afl/stats/players/S/Steven_Alessio.html,1971-11-08,203,106,184,1992-05-23,2003-08-17
https://afltables.com/afl/stats/players/C/Colin_Alexander.html,1970-04-12,178,74,29,1989-04-01,1993-06-20
https://afltables.com/afl/stats/players/H/Harold_Alexander.html,1902-04-21,188,79,70,1922-05-20,1926-06-19
https://afltables.com/afl/stats/players/H/Harry_Alexander.html,1939-07-20,179,76,29,1962-04-23,1964-05-16
https://afltables.com/afl/stats/players/J/Jim_Alexander.html,1899-03-15,166,0,5,1918-08-10,1919-06-21
https://afltables.com/afl/stats/players/R/Ron_Alexander.html,1950-12-10,196,100,133,1976-04-03,1981-09-12
https://afltables.com/afl/stats/players/T/Terry_Alexander.html,1944-06-08,194,92,28,1967-06-03,1969-09-20
https://afltables.com/afl/stats/players/W/Wal_Alexander.html,1923-10-22,178,76,20,1945-04-21,1948-07-31
https://afltables.com/afl/stats/players/N/Noel_Alford.html,1932-08-11,170,73,24,1952-06-07,1953-08-29
https://afltables.com/afl/stats/players/A/Aliir_Aliir.html,1994-09-05,195,97,47,2016-05-01,2019-08-03
https://afltables.com/afl/stats/players/A/Andy_Allan.html,1869-06-13,NA,NA,4,1899-07-29,1899-08-26
https://afltables.com/afl/stats/players/B/Barry_Allan.html,1942-09-26,188,85,61,1962-05-12,1967-06-10
https://afltables.com/afl/stats/players/B/Ben_Allan.html,1968-10-15,182,83,145,1990-05-12,1997-08-30
https://afltables.com/afl/stats/players/G/Graeme_Allan.html,1954-07-23,183,83,141,1975-05-10,1986-04-12
https://afltables.com/afl/stats/players/J/John_Allan.html,NA,NA,NA,19,NA,NA
https://afltables.com/afl/stats/players/J/Johnny_Allan.html,1888-08-02,170,71,10,1913-05-17,1913-08-30
https://afltables.com/afl/stats/players/M/Marcus_Allan.html,1986-05-23,180,75,5,2006-08-12,2007-06-09
https://afltables.com/afl/stats/players/M/Matthew_Allan.html,1975-02-26,198,104,161,1994-07-02,2005-03-26
https://afltables.com/afl/stats/players/P/Peter_Allan.html,1935-01-09,182,81,3,1955-05-14,1955-05-28
https://afltables.com/afl/stats/players/R/Ron_Allan.html,1924-03-03,180,86,14,1946-08-31,1949-05-07
https://afltables.com/afl/stats/players/S/Steven_Allan.html,1956-09-22,180,76,9,1982-05-01,1982-08-28
https://afltables.com/afl/stats/players/N/Noel_Allanson.html,1925-12-25,179,76,57,1947-05-31,1951-06-09
https://afltables.com/afl/stats/players/G/Gordon_Allard.html,1877-05-18,NA,NA,16,1900-05-05,1900-09-01
https://afltables.com/afl/stats/players/D/David_Allday.html,1964-11-27,198,85,21,1985-06-08,1988-07-23
https://afltables.com/afl/stats/players/B/Bert_Allen.html,1887-05-07,NA,NA,2,1912-05-11,1912-05-18
https://afltables.com/afl/stats/players/B/Bill_Allen.html,1889-07-07,188,85,142,1910-06-04,1923-07-14
https://afltables.com/afl/stats/players/B/Bob_Allen.html,1908-12-22,NA,NA,2,1926-05-22,1926-05-29
https://afltables.com/afl/stats/players/D/Dick_Allen.html,1921-12-22,168,62,3,1943-05-08,1943-05-22
https://afltables.com/afl/stats/players/G/George_Allen.html,1928-04-20,175,72,16,1946-08-10,1948-07-10
https://afltables.com/afl/stats/players/H/Harry_Allen.html,1890-05-21,168,64,20,1914-05-09,1919-06-28
https://afltables.com/afl/stats/players/J/Jack_Allen.html,1887-10-13,NA,NA,8,1907-05-04,1907-07-20
https://afltables.com/afl/stats/players/J/Jackson_Allen.html,1993-04-14,179,79,4,2012-08-11,2013-08-25
https://afltables.com/afl/stats/players/J/Jarryd_Allen.html,1988-01-14,193,90,4,2008-06-20,2008-09-13
